Carimbo de data/hora,Qual sua atividade atual na UFPR (relacionada à presença nesta disciplina)?,Qual o Setor de atuação/estudo na UFPR?  ,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação?,De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas diferentes de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) estatístico(s) você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,Qual das seguintes categorias descreve melhor sua situação de emprego?,Sexo,Quantos irmãos você tem?,Qual a sua origem?,Você mora,Qual seu meio de transporte predominante para ir para Universidade?,Possui habilitação para dirigir? Qual categoria?,"Em média, quanto tempo você demora para chegar a Universidade?",Qual a sua altura?,Qual o seu peso?,Possui animal de estimação?,Toca algum instrumento musical?,Qual a data do seu nascimento?,De quais redes sociais você participa?,"Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Você é o provedor da conta de NETFLIX da sua família/amigos?,O arroz do Natal tem que ser,Quantos anos você acha que a pessoa da foto abaixo tem?,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu algum vídeo da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,"Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina (Paulo Afonso, Walmes, Fernando Mayer, Cesar)?"
01/03/2019 12:41:31,Doutorado,SD - Saúde,2002,PUC - Pr,,2009,2011,UFPR,5,Não,0,18,Não,Não utilizei,Certamente sim,8,Trabalho com carteira assinada/Vínculo Formal,Feminino,4,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),40,156,61,Cachorro ,Não,22/06/1979,Instagram,1,Não,com uvas passas,50,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Sim,Não
01/03/2019 13:09:00,Mestrado Acadêmico,BL - Ciências Biológicas,2017,UFPR,"Iniciação científica, Bolsista de (algum outro) projeto",,,,0,CAPES,2,5,Sim,"Statistica, Prisma",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com os pais,Carro/moto próprio,B (carro),25,169,78,Gatos ,Não,23/06/1986,"Facebook, Instagram, Linkedin",0,Não,sem uvas passas,50,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
01/03/2019 13:18:45,Mestrado Acadêmico,ET - Exatas,2015,PUC PR,Iniciação científica,,,,0,Não,1,0,Não,Excel,Não sei ainda,9,Trabalho por contrato,Feminino,1,Interior do Paraná,Com outros familiares,Carro/moto próprio,B (carro),20,165,73,1,Não,27/07/1993,"Facebook, Google+, Instagram, Linkedin",5,Não,tanto faz.,52,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
01/03/2019 13:33:53,Doutorado,AG - Agrárias,2006,UEM,"Iniciação científica, Bolsista de (algum outro) projeto",2013,2015,Unipar,5,CAPES,1,0,Sim,SPSS,Certamente sim,10,Bolsista em tempo integral,Feminino,2,Curitiba ou região metropolitana,Sozinho,Transporte público,B (carro),30,175,90,Não,Violino,05/05/1983,"Facebook, Instagram",5,Não,tanto faz.,65,Sair vivo,Eu vi no site do SIGA e me interessei,Não,Não,Não
01/03/2019 15:42:04,Mestrado Acadêmico,SD - Saúde,2013,UFPR,"Iniciação científica, Monitoria",,,,0,Não,1,1,Não,Não usei,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,Superior à B,20,168,54,Cachorro ,Não,16/07/1988,"Facebook, Instagram",1,Sim,com uvas passas,55,Aumento salarial e oportunidades mais promissoras.,Por amigos,Não,Não,Não
01/03/2019 16:39:01,Doutorado,SD - Saúde,1991,Unoeste,Iniciação científica,2007,2010,UFPR,2,Não,0,2,Sim,"Statistica, Excel",Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,2,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,160,68,"Cachorro; cachorra, cachorro ",Não,13/03/1970,"Facebook, Instagram, Linkedin, Outras",5,Não,com uvas passas,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Sim,Não,Não
01/03/2019 17:22:43,Doutorado,"AC - Artes, Comunicação e Design",2012,UFPR,,2013,2015,UFPR,3,CAPES,0,0,Sim,Excel,Não sei ainda,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),25,175,83,Dois gatos,Não,06/04/1987,"Facebook, Google+, Instagram, Linkedin",3,Sim,sem uvas passas,48,Conseguir um emprego.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
01/03/2019 18:09:06,Mestrado Acadêmico,ET - Exatas,2015,FATEC  SP,Iniciação científica,,,,2,Não,1,5,Não,Nenhum,Certamente sim,9,Trabalho com carteira assinada/Vínculo Formal,Masculino,2,Outro Estado,Com outros familiares,Transporte público,A e B (moto e carro),30,170,72,Não,Não,30/08/1981,"Facebook, Twitter, Instagram, Linkedin",0,Sim,tanto faz.,45,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Disciplina de Seminários,Não,Não,Não
02/03/2019 10:05:21,Mestrado Acadêmico,SD - Saúde,2008,Unifil,,,,,0,Não,1,10,Não,Excel,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,2,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),150,168,58,Não,Não,15/03/1986,"Facebook, Instagram, Linkedin",0,Não tenho conta no NETFLIX,tanto faz.,53,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
05/03/2019 08:16:17,Mestrado Acadêmico,TC - Tecnologia,2018,UFF,Equipe de robótica,,,,1,CAPES,2,0,Não,Excel,Não sei ainda,8,Bolsista em tempo integral,Feminino,1,Outro Estado,Com os pais,Transporte público,B (carro),90,161,50,Cachorro,Violino,13/03/1996,"Facebook, Instagram",3,Sim,sem uvas passas,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo meu/minha orientador/orientadora,Não,Sim,Não
06/03/2019 11:09:54,Doutorado,BL - Ciências Biológicas,1991,UNESP- Araraquara-SP,Bolsista de (algum outro) projeto,2003,2005,UFPR,1,CAPES,0,2,Sim,SPSS,Certamente sim,10,Bolsista em tempo integral,Feminino,5,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),50,158,69,Não,Não,21/11/1968,"Facebook, Instagram, Linkedin",0,Não,com uvas passas,60,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:29:42,Doutorado,"AC - Artes, Comunicação e Design",2006,utfpr,,2013,2015,UFPR,4,Não,1,0,Não,nenhum,Não sei ainda,6,Trabalho com carteira assinada/Vínculo Formal,Feminino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),15,165,57,Não,Não,25/06/1983,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",4,Sim,tanto faz.,54,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Sim,Não
08/03/2019 14:31:39,Doutorado,AG - Agrárias,2014,universidade do contestado - campus Concórdia-SC,,2015,2016,universidade regional integrada do alto uruguai e das missões - campus Erechim-RS,2,CAPES,1,2,Sim,R,Certamente sim,10,Bolsista em tempo integral,Masculino,1,Outro Estado,Com amigos,Bicicleta,A e B (moto e carro),20,174,75,cachorro,violão,13/09/1992,Facebook,4,Não tenho conta no NETFLIX,tanto faz.,57,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por ex-alunos da Disciplina,Não,Não,Não
08/03/2019 14:34:06,Mestrado Acadêmico,AG - Agrárias,2016,UFPR,Iniciação científica,,2020,UFPR,3,CAPES,1,0,Sim,Excel,Certamente sim,9,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com os pais,Carro/moto próprio,B (carro),40,168,70,gato,Não,15/12/1993,"Instagram, Linkedin",3,Sim,com uvas passas,56,Aumento salarial e oportunidades mais promissoras.,Pelo meu/minha orientador/orientadora,Sim,Não,Não
08/03/2019 14:34:52,Mestrado Acadêmico,AG - Agrárias,2013,UFPR,"Iniciação científica, Bolsista de (algum outro) projeto",,,,0,Não,2,3,Sim,Excel,Certamente sim,9,Desempregada,Feminino,2,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Transporte público,B (carro),90,172,83,Gato,Não,29/12/1989,"Facebook, Instagram, Linkedin",0,Não tenho conta no NETFLIX,tanto faz.,63,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:35:28,Mestrado Acadêmico,ET - Exatas,2018,UFPR,Iniciação científica,,,,0,CNPQ,1,0,Sim,R,Não sei ainda,6,Bolsista em tempo integral,Feminino,3,Curitiba ou região metropolitana,Com os pais,Transporte público,B (carro),60,171,63,cachorro,violão; flauta doce;,19/06/1996,"Facebook, Twitter, Instagram, Linkedin",4,Não,sem uvas passas,35,não sei,Eu vi no site do SIGA e me interessei,Não,Sim,Não
08/03/2019 14:35:43,Doutorado,TC - Tecnologia,2015,UFPR,Bolsista de (algum outro) projeto,2016,2018,UFPR,1,CAPES,1,1,Não,Statistica,Certamente sim,10,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),3,166,64,Não,Não,24/02/1987,Facebook,0,Sim,com uvas passas,60,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:36:07,Mestrado Acadêmico,CH - Humanas,2017,UFPR,"Iniciação científica, Bolsista de (algum outro) projeto",,2020,,0,CAPES,1,8,Sim,Jamovi,Definitivamente não,6,Bolsista em tempo integral,Feminino,2,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Bicicleta,B (carro),15,170,60,Cachorro,Não,28/11/1990,"Facebook, Twitter, Instagram, Linkedin",10,Sim,com uvas passas,40,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:36:57,Mestrado Acadêmico,SL - Litoral,2016,UNIBRASIL,,,,,3,Não,0,1,Sim,Excel,Certamente sim,10,Trabalho por contrato,Feminino,8,Outro Estado,Com outros familiares,Carro/moto próprio,B (carro),90,157,64,Tartaruga,Não,11/05/1982,"Instagram, Linkedin",0,Sim,tanto faz.,42,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Sim,Sim,Não
08/03/2019 14:36:19,Mestrado Acadêmico,CT - Ciências da Terra,2017,UFU,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",2018,,,2,CAPES,2,1,Sim,"R, Excel",Certamente sim,10,Bolsista em tempo integral,Masculino,2,Outro Estado,"Pensão, quarto alugado ou algo similar",A pé,B (carro),20,187,74,Não,Não,06/02/1995,"Facebook, Google+, Instagram, Linkedin, Outras",5,Sim,com uvas passas,50,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:37:56,Mestrado Acadêmico,ET - Exatas,2008,UFPR,,,,,0,Não,1,0,Sim,R,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Masculino,2,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),30,170,86,Não,Não,05/01/1982,"Facebook, Twitter, Linkedin",0,Sim,tanto faz.,50,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Sim,Sim,Não
08/03/2019 14:38:43,Doutorado,SP - Palotina,204,Unipar,"Iniciação científica, Bolsista de (algum outro) projeto",2015,2017,UFPR,1,Não,1,1,Sim,Excel,Certamente sim,10,Trabalho ocasional,Feminino,1,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Transporte público,A e B (moto e carro),55,158,70,Tartaruga; cachorro,Não,27/07/1993,"Facebook, Instagram, Linkedin",0,Sim,sem uvas passas,50,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:38:46,Doutorado,CH - Humanas,2008,UniBrasil,Bolsista de (algum outro) projeto,2017,2019,UEPG,0,Não,1,6,Sim,Excel,Certamente sim,9,Trabalho com carteira assinada/Vínculo Formal,Masculino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),120,180,87,Não,Não,17/02/1983,"Facebook, Twitter, Instagram",1,Não,sem uvas passas,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não
08/03/2019 14:38:54,Doutorado,BL - Ciências Biológicas,2012,UFRGS,Extensão Universitária,2012,2015,UFSM,5,CAPES,1,1,Sim,"R, SPSS, Excel",Certamente sim,10,Bolsista em tempo integral,Masculino,3,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),15,180,110,Cachorro,"Violão, bateria",27/01/1986,,1,Sim,com uvas passas,32,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:39:06,Mestrado Acadêmico,ET - Exatas,2018,UFPR,"Iniciação científica, PET, Monitoria, Bolsista de (algum outro) projeto",,,,1,CAPES,1,0,Sim,"R, Excel",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Transporte público,Não,15,165,110,Não,Piano; teclado; flauta; oboé; violino;,18/02/1995,"Facebook, Twitter, Instagram, Linkedin",5,Não,tanto faz.,40,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Sim,Não
08/03/2019 14:39:15,Mestrado Acadêmico,ET - Exatas,2000,Unicentro,,,,,1,Não,1,0,Não,Nao utilizei,Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Feminino,1,Interior do Paraná,Sozinho,Carro/moto próprio,A e B (moto e carro),180,176,87,Cães ,Não,20/12/1978,Facebook,0,Sim,tanto faz.,38,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:40:13,Doutorado,ET - Exatas,2015,PUCPR,"Iniciação científica, Bolsista de (algum outro) projeto",2016,2018,UFPR,1,CNPQ,1,0,Sim,"Minitab, Statistica, Excel",Certamente sim,10,Bolsista em tempo integral,Masculino,5,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,197,120,Cachorro; pássaro,Pandeiro,26/02/1991,Outras,0,Sim,sem uvas passas,52,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:40:20,Doutorado,BL - Ciências Biológicas,2014,UFRGS,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",2014,2016,UFRGS,2,CNPQ,1,7,Sim,"SPSS, Excel",Certamente sim,10,Bolsista em tempo integral,Feminino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Táxi/Aplicativo,Não,25,154,75,Cachorro,Não,22/11/1991,"Facebook, Instagram",20,Sim,tanto faz.,40,Aumento salarial e oportunidades mais promissoras.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
08/03/2019 14:40:38,Doutorado,CH - Humanas,2009,UFPR,"Iniciação científica, bolsista SIBI",2014,2016,UFPR,0,Não,0,0,Não,Excel,Definitivamente não,0,Trabalho com carteira assinada/Vínculo Formal,Feminino,2,Outro Estado,Sozinho,A pé,B (carro),20,179,63,cachorro,Não,02/03/1985,Instagram,10,Sim,tanto faz.,55,Aumento salarial e oportunidades mais promissoras.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:40:51,Mestrado Acadêmico,TC - Tecnologia,2017,UEM,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",,2020,UFPR,1,CAPES,1,9,Sim,"R, Excel, Statigraphics",Não sei ainda,6,Bolsista em tempo integral,Masculino,1,Interior do Paraná,Com amigos,Carro/moto próprio,B (carro),10,172,69,gato,Não,11/12/1994,"Facebook, Twitter, Instagram, Linkedin, Outras",10,Sim,sem uvas passas,50,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:41:21,Mestrado Acadêmico,ET - Exatas,2018,Universidade da região de Joinville ,Bolsista de (algum outro) projeto,2018,2020,UFPR,0,CAPES,1,6,Sim,Excel,Não sei ainda,10,Bolsista em tempo integral,Masculino,0,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),5,177,73,Cachorro ,Acordeon,27/03/1995,"Facebook, Instagram, Linkedin, Outras",0,Sim,tanto faz.,63,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:41:22,Doutorado,AG - Agrárias,2015,UFPR,"Iniciação científica, Bolsista de (algum outro) projeto",2017,2019,UFPR,2,Embrapa,1,0,Sim,SISVAR,Certamente sim,8,Bolsista em tempo integral,Feminino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Transporte público,Não,60,173,66,Cachorro,Não,30/09/1990,"Facebook, Instagram, Linkedin",15,Não,sem uvas passas,35,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:41:59,Mestrado Acadêmico,ET - Exatas,2006,Pontifícia Universidade Católica do Paraná,,,,UFPR,1,CAPES,0,0,Sim,Excel,Certamente sim,8,Autônomo,Masculino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,173,95,peixes,piano; teclado,13/02/1980,"Facebook, Twitter, Instagram, Linkedin",3,Sim,sem uvas passas,42,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:42:48,Doutorado,AG - Agrárias,2006,Universidade Estadual de Maringá - UEM,"Iniciação científica, Bolsista de (algum outro) projeto",2012,2014,UFPR,1,Não,1,1,Sim,"Statistica, Sisvar e assistat",Certamente sim,10,Trabalho com carteira assinada/Vínculo Formal,Masculino,1,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),10,172,82,Cachorro; Gato,Não,31/12/1984,"Facebook, Instagram, Linkedin",2,Sim,sem uvas passas,45,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Sim,Sim
08/03/2019 14:43:24,Doutorado,SD - Saúde,2012,UNICENTRO,"Monitoria, Bolsista de (algum outro) projeto",2012,2014,UFPR,56,Não,1,2,Sim,"SPSS, Excel",Certamente sim,10,Trabalho por contrato,Feminino,1,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),4,180,73,Não,Não,28/01/1989,"Facebook, Instagram",8,Sim,com uvas passas,50,Aumento salarial e oportunidades mais promissoras.,Site da UFPR,Não,Não,Não
08/03/2019 14:43:53,Doutorado,AG - Agrárias,2014,UFMS,"Monitoria, Empresa Júnior",2015,2017,UFPR,1,Não,3,12,Sim,"Excel, Action, statgraphics, JMP ",Certamente sim,8,Trabalho por contrato,Feminino,1,Interior do Paraná,Com amigos,Carro/moto próprio,B (carro),15,176,56,Cão,Não,09/10/1992,"Instagram, Linkedin",5,Não tenho conta no NETFLIX,tanto faz.,56,Aumento salarial e oportunidades mais promissoras.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
08/03/2019 14:43:56,Mestrado Acadêmico,AG - Agrárias,2017,UFPR,"Iniciação científica, Monitoria, Bolsista de (algum outro) projeto",,,,0,CAPES,2,3,Sim,"R, Excel",Certamente sim,10,Bolsista em tempo integral,Masculino,1,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),15,180,97,cachorro,Não,21/05/1993,"Facebook, Instagram",5,Não,sem uvas passas,44,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo meu/minha orientador/orientadora,Não,Sim,Sim
08/03/2019 14:47:47,Mestrado Profisional,ET - Exatas,1997,UTP - Universidade Tuiuti do Paraná,,,,,0,Não,1,0,Sim,"R, Excel",Certamente sim,9,Trabalho por contrato,Masculino,3,Curitiba ou região metropolitana,Com outros familiares,Carro/moto próprio,A e B (moto e carro),30,184,105,gato; cachorro;,violão,02/11/1968,Facebook,0,Sim,com uvas passas,55,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR,Não,Sim,Sim
08/03/2019 14:47:52,Doutorado,SA - Sociais Aplicadas,2008,Centro de Estudos Superiores de Londrina,"Iniciação científica, Monitoria, Empresa Júnior",2008,2011,UTFPR,2,Não,2,15,Sim,"Excel, Matlab",Certamente sim,8,Servidor Público,Masculino,1,Interior do Paraná,Com outros familiares,A pé,B (carro),15,190,94,Não,Violão,10/02/1976,Linkedin,6,Não tenho conta no NETFLIX,sem uvas passas,42,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo meu/minha orientador/orientadora,Não,Não,Não
08/03/2019 14:48:15,Doutorado,BL - Ciências Biológicas,2009,Unespar,,2014,2016,Uepg,0,CAPES,1,0,Sim,"Excel, Past",Certamente sim,10,Bolsista em tempo integral,Feminino,2,Interior do Paraná,Com o namorado(a)/noivo(a)/cônjuge,Serviço fretado de van/ônibus,A e B (moto e carro),240,165,85,Gatos,Não,21/11/1988,Facebook,2,Não,sem uvas passas,43,Aumento salarial e oportunidades mais promissoras.,Pelo meu/minha orientador/orientadora,Não,Não,Não
08/03/2019 14:48:20,Mestrado Acadêmico,AG - Agrárias,2018,UFPR,"Iniciação científica, Monitoria",,,,3,CNPQ,1,0,Sim,"SAS, Excel,  sisvar",Certamente sim,10,Bolsista em tempo integral,Masculino,1,Curitiba ou região metropolitana,Com os pais,Transporte público,B (carro),60,185,100,Não,Não,26/12/1994,Facebook,0,Não,com uvas passas,30,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:49:00,Doutorado,SA - Sociais Aplicadas,2005,Unibrasil,,2013,2015,UFPR,3,Não,1,1,Sim,"Excel, Stata",Certamente sim,9,Trabalho com carteira assinada/Vínculo Formal,Masculino,5,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),20,169,67,Cachorro ,Não,23/12/1978,Google+,2,Sim,tanto faz.,45,Aumento salarial e oportunidades mais promissoras.,Email da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não
08/03/2019 14:49:52,Mestrado Acadêmico,SD - Saúde,2015,Unibrasil,,,,,0,CAPES,1,0,Sim,R,Certamente sim,8,Bolsista em tempo integral,Masculino,2,Curitiba ou região metropolitana,Sozinho,Bicicleta,A e B (moto e carro),15,176,74,Não,Não,11/03/1991,Instagram,0,Sim,tanto faz.,53,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por amigos,Sim,Sim,Não
08/03/2019 14:49:57,Doutorado,CH - Humanas,1997,Universidade Federal de Rondônia,,2012,2015,PUC / RS,1,Não,0,0,Não,Excel,Não sei ainda,5,funcionário público,Masculino,9,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,avião,A e B (moto e carro),60,175,70,Não,Não,15/03/1974,Facebook,10,Sim,tanto faz.,50,,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:50:37,Coordenadora de curso IFPR e professora,EP - Educação Profissional e Tecnológica,2011,IFPR,,,,,0,Não,2,0,Sim,Excel,Certamente sim,9,Trabalho com carteira assinada/Vínculo Formal,Feminino,3,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),60,160,65,cachorro,Não,30/06/1973,"Facebook, Google+, Linkedin",0,Sim,sem uvas passas,42,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR,Não,Não,Não
08/03/2019 14:51:18,Doutorado,CT - Ciências da Terra,2016,UFRRJ,"Iniciação científica, Monitoria, Empresa Júnior",2017,2019,UFPR,2,CAPES,1,1,Sim,Excel,Certamente sim,8,Bolsista em tempo integral,Masculino,2,Outro Estado,"Pensão, quarto alugado ou algo similar",Bicicleta,Não,10,170,65,Não,Não,01/10/1992,"Facebook, Instagram, Linkedin",2,Não,tanto faz.,55,Conseguir um emprego.,Site da UFPR,Não,Não,Não
08/03/2019 14:51:32,Professor,"AC - Artes, Comunicação e Design",1985,UFPR,,,,,5,Não,1,7,Sim,Excel,Certamente sim,9,Trabalho com carteira assinada/Vínculo Formal,Masculino,1,Curitiba ou região metropolitana,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,A e B (moto e carro),10,171,74,cachorro,Não,17/05/1966,,0,Não,com uvas passas,45,Aumento salarial e oportunidades mais promissoras.,pela PRPPG,Não,Sim,Não
08/03/2019 14:51:57,Doutorado,ET - Exatas,2016,PUCPR,"Iniciação científica, Monitoria",2017,2019,UNICENTRO,1,Não,1,0,Sim,"Minitab, Excel",Não sei ainda,8,Trabalho ocasional,Masculino,2,Interior do Paraná,Com outros familiares,Carro/moto próprio,B (carro),30,173,105,Cachorro,Teclado,22/10/1992,"Facebook, Twitter, Instagram, Linkedin",4,Sim,tanto faz.,60,Conseguir um emprego.,Eu vi no site do SIGA e me interessei,Não,Não,Não
08/03/2019 14:57:29,Doutorado,BL - Ciências Biológicas,2012,UFPI,Monitoria,2014,2016,UFC,1,CAPES,1,4,Sim,"R, Statistica",Certamente sim,10,Bolsista em tempo integral,Feminino,2,Outro Estado,Com amigos,Transporte público,B (carro),30,170,68,"CACHORRO, GATO",Não,31/10/1990,Instagram,10,Sim,com uvas passas,45,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não
08/03/2019 14:58:13,Mestrado Acadêmico,AG - Agrárias,2017,UFPR,"Monitoria, Iniciação Tecnológica",,,,0,Não,0,0,Sim,Excel,Não sei ainda,7,Trabalho ocasional,Feminino,2,Outro Estado,Com o namorado(a)/noivo(a)/cônjuge,Carro/moto próprio,B (carro),20,165,56,Não,piano,27/01/1985,"Facebook, Instagram, Linkedin",0,Não,tanto faz.,50,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Eu vi no site do SIGA e me interessei,Não,Não,Não
